# ASAS-SN SkyPatrol ID: 128849647708
# ATLAS-REFCAT2: 153983261714666303
# Gaia DR2: 1952859683185470208
# TESS Input Catalog (TIC): 468511196
# AAVSO International Variable Star Index: V1341 Cyg
# Chandra Source Catalog: 2CXO J214441.1+381917
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM2+38.1662


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2457007.7016854,4.6245,0.0690,14.7971,0.0162,17.6151,1.67,V,G,bd
2457008.6991558,4.4631,0.0673,14.8357,0.0164,17.6425,1.76,V,G,bd
2457009.6962891,6.0240,0.0872,14.5101,0.0157,17.3606,1.68,V,G,bd
2457010.6938022,6.3527,0.1031,14.4524,0.0176,17.1790,1.62,V,G,bd
2457011.6912918,5.8036,0.1203,14.5505,0.0225,17.0114,1.73,V,B,bd
2457012.7002297,5.6712,0.0650,14.5756,0.0125,17.6798,1.64,V,G,bd
2457133.1195329,4.9961,0.0654,14.7132,0.0142,17.6736,1.52,V,G,bd
2457139.1230287,5.1072,0.0640,14.6893,0.0136,17.6974,1.67,V,G,bd
2457148.1143957,4.6507,0.0995,14.7910,0.0233,17.2176,1.51,V,G,bd
2457156.0477759,4.2437,0.0733,14.8904,0.0188,17.5494,1.58,V,G,bd
2457158.0377586,7.2448,0.0975,14.3097,0.0146,17.2399,1.54,V,G,bd
2457161.0517486,4.4436,0.0683,14.8404,0.0167,17.6266,1.43,V,B,bd
2457162.0531638,4.8205,0.0715,14.7520,0.0161,17.5758,1.52,V,B,bd
2457164.0441139,8.0309,0.1033,14.1979,0.0140,17.1773,1.47,V,G,bd
2457172.0116276,5.1324,0.0731,14.6840,0.0155,17.5530,1.51,V,G,bd
2457179.0205366,7.1242,0.1383,14.3279,0.0211,16.8602,1.47,V,G,bd
2457183.0636808,5.7978,0.0625,14.5516,0.0117,17.7233,1.49,V,G,bd
2457185.0245417,5.0631,0.0547,14.6987,0.0117,17.8684,1.52,V,G,bd
2457191.0410585,5.0754,0.0712,14.6961,0.0152,17.5813,1.74,V,B,bd
2457192.0474778,5.9209,0.0840,14.5288,0.0154,17.4012,1.52,V,B,bd
2457195.0457279,4.8870,0.0508,14.7372,0.0113,17.9485,1.62,V,G,bd
2457199.9313552,5.5129,0.0557,14.6063,0.0110,17.8478,1.56,V,G,bd
2457200.9566485,6.4073,0.0697,14.4431,0.0118,17.6042,1.60,V,G,bd
2457201.9211899,5.3508,0.0373,14.6387,0.0076,18.2828,1.68,V,G,bd
2457202.9047769,7.2807,0.1086,14.3044,0.0162,17.1227,1.64,V,G,bd
2457206.931642,7.0017,0.1297,14.3468,0.0201,16.9300,1.55,V,G,bd
2457209.9935251,6.3331,0.1002,14.4557,0.0172,17.2098,1.66,V,G,bd
2457215.9531149,4.7638,0.0609,14.7649,0.0139,17.7513,1.53,V,G,bd
2457227.9225202,8.2977,0.1072,14.1624,0.0140,17.1370,1.50,V,G,bd
2457231.9838026,7.9871,0.1064,14.2038,0.0145,17.1451,1.75,V,G,bd
2457234.0001782,4.8114,0.1018,14.7541,0.0230,17.1934,1.58,V,G,bd
2457241.0375429,4.8524,0.0658,14.7449,0.0147,17.6662,1.55,V,G,bd
2457242.8226997,6.6869,0.0865,14.3967,0.0141,17.3697,1.52,V,G,bd
2457245.8567583,4.7277,0.0619,14.7732,0.0142,17.7333,1.57,V,G,bd
2457255.8155817,5.0641,0.0532,14.6985,0.0114,17.8976,1.49,V,G,bd
2457264.9505924,6.2323,0.0978,14.4732,0.0170,17.2370,1.56,V,G,bd
2457270.9938718,5.7561,0.0612,14.5595,0.0116,17.7455,1.53,V,G,bd
2457274.9405718,6.4565,0.0743,14.4348,0.0125,17.5351,1.48,V,G,bd
2457275.7573557,6.9030,0.1013,14.3622,0.0160,17.1978,1.46,V,G,bd
2457277.9727937,5.0427,0.0440,14.7031,0.0095,18.1026,1.52,V,G,bd
2457285.7428163,5.3668,0.0665,14.6355,0.0135,17.6550,1.44,V,G,bd
2457298.9212771,4.7080,0.0620,14.7777,0.0143,17.7308,1.54,V,G,bd
2457300.791187,5.5110,0.0578,14.6067,0.0114,17.8069,1.45,V,B,bd
2457304.8980167,5.4365,0.0436,14.6215,0.0087,18.1149,1.55,V,G,bd
2457309.8443876,5.1690,0.0359,14.6763,0.0076,18.3232,1.54,V,G,bd
2457315.7727457,5.0909,0.0530,14.6928,0.0113,17.9014,1.55,V,B,bd
2457319.7291021,5.3592,0.0626,14.6370,0.0127,17.7210,1.62,V,G,bd
2457321.7205183,5.9132,0.0847,14.5302,0.0156,17.3931,1.64,V,G,bd
2457327.7945575,4.5754,0.0639,14.8087,0.0152,17.6989,1.53,V,G,bd
2457333.815311,6.1782,0.0655,14.4826,0.0115,17.6712,1.52,V,G,bd
2457344.7376555,7.6176,0.0967,14.2552,0.0138,17.2491,1.61,V,G,bd
2457357.7489765,4.9387,0.0567,14.7258,0.0125,17.8285,1.61,V,G,bd
2457361.7381041,6.2299,0.0647,14.4736,0.0113,17.6857,1.62,V,G,bd
2457364.712009,5.7249,0.0585,14.5654,0.0111,17.7942,1.62,V,G,bd
2457372.724288,6.4151,0.0710,14.4418,0.0120,17.5840,1.76,V,G,bd
2457488.1364491,5.7211,0.0856,14.5661,0.0163,17.3817,1.48,V,G,bd
2457489.1177289,5.3731,0.0514,14.6342,0.0104,17.9358,1.50,V,G,bd
2457503.0978368,5.0072,0.0786,14.7108,0.0171,17.4737,1.67,V,G,bd
2457509.0919176,5.0187,0.0554,14.7083,0.0120,17.8527,1.55,V,G,bd
2457513.0729861,6.0980,0.0613,14.4968,0.0109,17.7442,1.57,V,G,bd
2457524.0518497,4.6470,0.0542,14.7919,0.0127,17.8782,1.59,V,G,bd
2457528.030519,4.9620,0.0674,14.7206,0.0148,17.6404,1.56,V,G,bd
2457539.0837242,5.6176,0.0529,14.5859,0.0102,17.9040,1.50,V,G,bd
2457547.0517323,5.3612,0.0520,14.6366,0.0105,17.9232,1.49,V,G,bd
2457548.0488771,5.2418,0.0432,14.6611,0.0090,18.1233,1.51,V,G,bd
2457555.9532406,4.5926,0.2324,14.8046,0.0550,16.2966,1.54,V,B,bd
2457558.9679545,5.3059,0.0846,14.6479,0.0173,17.3939,1.50,V,G,bd
2457562.0626633,5.2796,0.0768,14.6533,0.0158,17.4989,1.60,V,B,bd
2457567.959879,5.2650,0.2017,14.6563,0.0416,16.4505,1.55,V,B,bd
2457572.9274624,6.1300,0.0771,14.4911,0.0137,17.4946,1.58,V,G,bd
2457577.0784997,5.8269,0.0592,14.5462,0.0110,17.7809,1.57,V,G,bd
2457581.8871656,5.1027,0.0564,14.6903,0.0120,17.8349,1.53,V,G,bd
2457587.8723349,5.5121,0.0742,14.6065,0.0146,17.5367,1.70,V,G,bd
2457593.0074647,4.4858,0.0910,14.8302,0.0220,17.3149,1.56,V,G,bd
2457597.0590899,5.5102,0.0554,14.6069,0.0109,17.8531,1.61,V,B,bd
2457600.008545,4.5202,0.0637,14.8219,0.0153,17.7020,1.61,V,G,bd
2457602.8924407,5.0179,0.0514,14.7085,0.0111,17.9349,1.53,V,B,bd
2457604.8423129,4.5410,0.0664,14.8169,0.0159,17.6563,1.58,V,B,bd
2457608.0050865,4.7178,0.0633,14.7754,0.0146,17.7091,1.58,V,B,bd
2457610.8444984,4.8859,0.0646,14.7374,0.0144,17.6876,1.48,V,B,bd
2457615.0129926,6.5347,0.0783,14.4217,0.0130,17.4784,1.58,V,G,bd
2457617.0042241,6.0002,0.0791,14.5144,0.0143,17.4675,1.49,V,G,bd
2457618.861728,4.5627,0.1463,14.8117,0.0348,16.7995,1.54,V,G,bd
2457620.7994571,4.9026,0.0801,14.7337,0.0178,17.4535,1.58,V,B,bd
2457625.9097795,5.4734,0.0568,14.6141,0.0113,17.8267,1.48,V,G,bd
2457626.9071152,4.8948,0.0489,14.7354,0.0109,17.9886,1.56,V,G,bd
2457633.862681,4.2043,0.0788,14.9005,0.0204,17.4708,1.76,V,G,bd
2457637.9723772,4.6897,0.0612,14.7819,0.0142,17.7458,1.53,V,G,bd
2457641.7205739,5.5368,0.1321,14.6016,0.0259,16.9104,1.56,V,G,bd
2457642.7408015,4.5899,0.0842,14.8053,0.0199,17.3985,2.10,V,B,bd
2457652.950757,7.6158,0.1011,14.2555,0.0144,17.2008,1.67,V,G,bd
2457656.8641865,8.3239,0.1016,14.1590,0.0133,17.1949,1.53,V,G,bd
2457661.9261989,4.9980,0.0778,14.7128,0.0169,17.4845,1.57,V,B,bd
2457663.9116735,5.0918,0.0410,14.6926,0.0088,18.1791,2.00,V,G,bd
2457668.9027573,4.8645,0.0471,14.7422,0.0105,18.0292,1.52,V,G,bd
2457671.8165042,5.3673,0.0729,14.6354,0.0148,17.5554,1.49,V,B,bd
