# ASAS-SN SkyPatrol ID: 146030291103
# ATLAS-REFCAT2: 150412544575391389
# Gaia DR2: 1338822021487330304
# TESS Input Catalog (TIC): 341738544
# AAVSO International Variable Star Index: HZ Her


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456221.7235756,16.0633,0.0721,13.4452,0.0049,17.5680,2.41,V,G,ba
2456338.0657383,20.6358,0.1204,13.1732,0.0063,17.0105,2.19,V,G,ba
2456349.1299654,13.4865,0.1217,13.6350,0.0098,16.9993,2.01,V,G,ba
2456355.1150096,17.6203,0.0926,13.3447,0.0057,17.2957,2.15,V,G,ba
2456358.1502905,20.8991,0.1283,13.1595,0.0067,16.9417,1.81,V,G,ba
2456359.1240304,7.5227,0.1505,14.2688,0.0217,16.7684,1.79,V,G,ba
2456371.0319749,8.3325,0.1405,14.1578,0.0183,16.8434,1.85,V,G,ba
2456381.0504614,8.8316,0.1612,14.0947,0.0198,16.6941,1.90,V,G,ba
2456388.0971586,10.4429,0.1311,13.9127,0.0136,16.9187,2.19,V,B,ba
2456391.0825995,12.0301,0.1046,13.7591,0.0095,17.1631,2.13,V,G,ba
2456394.0360464,20.1516,0.1170,13.1990,0.0063,17.0419,2.28,V,G,ba
2456398.0055683,9.7585,0.1282,13.9863,0.0143,16.9425,2.19,V,B,ba
2456400.0582093,12.8873,0.0916,13.6844,0.0077,17.3071,1.82,V,G,ba
2456402.0630704,18.9031,0.1016,13.2685,0.0058,17.1952,1.79,V,G,ba
2456404.0394302,20.7373,0.1233,13.1679,0.0065,16.9847,2.02,V,G,ba
2456408.9751843,22.9874,0.1951,13.0561,0.0092,16.4868,2.15,V,G,ba
2456415.9713729,19.6908,0.1136,13.2241,0.0063,17.0740,2.28,V,G,ba
2456444.9768722,17.0989,0.0755,13.3774,0.0048,17.5179,2.56,V,G,ba
2456449.9159249,17.5444,0.0827,13.3494,0.0051,17.4189,2.60,V,G,ba
2456453.9005217,12.2090,0.1001,13.7431,0.0089,17.2111,1.91,V,B,ba
2456458.8884325,17.0649,0.0788,13.3795,0.0050,17.4713,2.15,V,G,ba
2456461.8895428,21.6222,0.1386,13.1225,0.0070,16.8578,1.68,V,G,ba
2456464.8805944,16.5698,0.1107,13.4115,0.0073,17.1020,1.83,V,G,ba
2456467.9723336,7.3371,0.2250,14.2960,0.0333,16.3317,1.77,V,B,ba
2456470.9796827,12.7324,0.1220,13.6975,0.0104,16.9962,2.29,V,G,ba
2456471.8418625,18.7879,0.1007,13.2751,0.0058,17.2052,2.28,V,G,ba
2456474.9728517,15.6843,0.0560,13.4711,0.0039,17.8420,2.00,V,G,ba
2456478.85343,19.0271,0.1012,13.2614,0.0058,17.1996,2.01,V,G,ba
2456479.85307,8.1947,0.1424,14.1759,0.0189,16.8285,2.00,V,G,ba
2456483.8746654,19.2557,0.1044,13.2484,0.0059,17.1661,2.34,V,G,ba
2456486.8540477,12.5764,0.0926,13.7109,0.0080,17.2959,2.06,V,G,ba
2456489.8354869,9.3538,0.1419,14.0323,0.0165,16.8324,1.82,V,G,ba
2456490.8407707,22.7214,0.1522,13.0687,0.0073,16.7564,1.81,V,G,ba
2456493.8873485,18.3905,0.1215,13.2983,0.0072,17.0014,2.26,V,G,ba
2456505.8362794,18.7155,0.1021,13.2793,0.0059,17.1895,2.24,V,G,ba
2456506.8243481,11.3082,0.1096,13.8263,0.0105,17.1132,2.02,V,G,ba
2456508.824384,12.9853,0.0932,13.6762,0.0078,17.2894,2.01,V,G,ba
2456512.8217902,20.4687,0.1233,13.1821,0.0065,16.9853,2.09,V,G,ba
2456518.7747178,8.0277,0.1571,14.1983,0.0213,16.7222,1.75,V,B,ba
2456522.7839155,15.6079,0.1002,13.4764,0.0070,17.2107,1.76,V,G,ba
2456523.7939868,10.7651,0.1454,13.8797,0.0147,16.8056,2.09,V,G,ba
2456526.8067932,16.7505,0.1231,13.3997,0.0080,16.9868,1.79,V,G,ba
2456532.7889352,11.3603,0.1125,13.8213,0.0108,17.0841,2.00,V,G,ba
2456535.7735992,8.3535,0.1454,14.1551,0.0189,16.8060,2.00,V,G,ba
2456537.7724553,11.3279,0.1122,13.8244,0.0108,17.0870,2.03,V,G,ba
2456538.7715023,15.6979,0.0509,13.4702,0.0035,17.9458,1.70,V,G,ba
2456544.7559388,14.7125,0.0591,13.5406,0.0044,17.7828,2.02,V,G,ba
2456554.7381652,8.8890,0.1963,14.0877,0.0240,16.4801,1.80,V,G,ba
2456572.7017166,18.1317,0.1976,13.3137,0.0118,16.4727,1.74,V,B,ba
2456658.1743853,8.6355,0.2381,14.1191,0.0300,16.2704,2.10,V,B,ba
