# ASAS-SN SkyPatrol ID: 446676626267
# ATLAS-REFCAT2: 89232449794231954
# Gaia DR2: 4328198145165324800
# TESS Input Catalog (TIC): 52901460
# AAVSO International Variable Star Index: V0818 Sco


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.0652855,32.0471,0.1312,12.6953,0.0044,16.9177,2.12,V,G,ba
2456349.1229518,39.8455,0.1414,12.4588,0.0039,16.8366,1.89,V,G,ba
2456357.1154814,24.9440,0.1846,12.9674,0.0080,16.5466,1.82,V,G,ba
2456385.9738862,24.4404,0.1831,12.9895,0.0081,16.5559,2.07,V,G,ba
2456390.9875616,24.6322,0.1867,12.9810,0.0082,16.5345,2.11,V,G,ba
2456396.0011754,27.9291,0.1587,12.8446,0.0062,16.7107,2.19,V,G,ba
2456403.9815951,33.9776,0.1769,12.6318,0.0057,16.5933,2.07,V,G,ba
2456434.9248887,47.3880,0.1830,12.2706,0.0042,16.5562,2.39,V,G,ba
2456444.8762327,43.0953,0.1275,12.3737,0.0032,16.9490,2.79,V,G,ba
2456449.9055431,46.6310,0.1585,12.2881,0.0037,16.7124,2.58,V,G,ba
2456452.8916523,50.2012,0.1813,12.2080,0.0039,16.5665,2.03,V,G,ba
2456457.8824107,35.5730,0.0894,12.5820,0.0027,17.3337,2.14,V,G,ba
2456461.8783068,27.2663,0.1934,12.8707,0.0077,16.4960,1.73,V,G,ba
2456468.8571883,36.6562,0.2972,12.5494,0.0088,16.0297,1.72,V,B,ba
2456473.8541943,30.6523,0.1427,12.7436,0.0051,16.8266,2.17,V,G,ba
2456477.8540409,29.9563,0.1447,12.7686,0.0053,16.8111,1.69,V,G,ba
2456483.803761,47.2762,0.1562,12.2732,0.0036,16.7283,2.25,V,G,ba
2456486.8399258,24.8442,0.1773,12.9717,0.0078,16.5908,2.00,V,G,ba
2456496.7532499,44.1951,0.2168,12.3463,0.0053,16.3724,1.76,V,G,ba
2456511.7577295,22.0596,0.1927,13.1008,0.0095,16.5001,1.68,V,G,ba
2456520.7496079,41.2228,0.1573,12.4219,0.0041,16.7204,1.77,V,B,ba
2456527.7381048,39.8129,0.1039,12.4597,0.0028,17.1712,2.46,V,G,ba
2456675.1503142,43.5327,0.1998,12.3627,0.0050,16.4607,2.43,V,G,ba
